id,post_id,comment_id,author_name,author_url,content,timestamp,likes,reply_to_id,scraped_at
20,113,C_00020,Bat-Erdene,https://facebook.com/bat-erdene,Маш сонирхолтой мэдээлэл байна.,2026-05-12 09:00:00,5,,2026-05-12 10:00:00
21,431,C_00021,Gantulga,https://facebook.com/gantulga,Хэрэгжүүлж үзнэ ээ.,2026-05-24 04:00:00,4,,2026-05-24 05:00:00
22,401,C_00022,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-17 03:00:00,5,11,2026-05-17 04:00:00
23,121,C_00023,Tuguldur,https://facebook.com/tuguldur,Үүнтэй санал нийлэхгүй байна.,2026-05-08 08:00:00,42,,2026-05-08 09:00:00
24,87,C_00024,Bat-Erdene,https://facebook.com/bat-erdene,Дараагийн пост хэзээ орох вэ?,2026-05-21 15:00:00,49,,2026-05-21 16:00:00
25,444,C_00025,Maral,https://facebook.com/maral,Гайхалтай!,2026-05-07 17:00:00,44,,2026-05-07 18:00:00
26,290,C_00026,Nomin,https://facebook.com/nomin,Сайн тайлбарлажээ.,2026-05-08 02:00:00,0,,2026-05-08 03:00:00
27,257,C_00027,Gantulga,https://facebook.com/gantulga,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-18 13:00:00,40,12,2026-05-18 14:00:00
28,237,C_00028,Khuslen,https://facebook.com/khuslen,"Асуух зүйл байна, dm шалгаарай.",2026-05-13 22:00:00,47,,2026-05-13 23:00:00
29,18,C_00029,Sarnai,https://facebook.com/sarnai,Гайхалтай!,2026-05-20 22:00:00,9,,2026-05-20 23:00:00
30,84,C_00030,Gantulga,https://facebook.com/gantulga,"Асуух зүйл байна, dm шалгаарай.",2026-05-17 08:00:00,13,14,2026-05-17 09:00:00
31,234,C_00031,Maral,https://facebook.com/maral,Сайн тайлбарлажээ.,2026-05-17 15:00:00,13,,2026-05-17 16:00:00
32,348,C_00032,Bat-Erdene,https://facebook.com/bat-erdene,"Асуух зүйл байна, dm шалгаарай.",2026-05-11 04:00:00,34,,2026-05-11 05:00:00
33,297,C_00033,Maral,https://facebook.com/maral,Маш сонирхолтой мэдээлэл байна.,2026-05-13 13:00:00,32,,2026-05-13 14:00:00
34,92,C_00034,Odbayar,https://facebook.com/odbayar,Сайн тайлбарлажээ.,2026-05-17 04:00:00,16,,2026-05-17 05:00:00
35,325,C_00035,Anu,https://facebook.com/anu,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-06 06:00:00,10,,2026-05-06 07:00:00
36,309,C_00036,Anu,https://facebook.com/anu,Хэрэгжүүлж үзнэ ээ.,2026-05-16 20:00:00,10,,2026-05-16 21:00:00
37,410,C_00037,Maral,https://facebook.com/maral,Гайхалтай!,2026-05-13 03:00:00,43,21,2026-05-13 04:00:00
38,239,C_00038,Anu,https://facebook.com/anu,Гайхалтай!,2026-05-14 03:00:00,7,,2026-05-14 04:00:00
39,291,C_00039,Tuguldur,https://facebook.com/tuguldur,Маш сонирхолтой мэдээлэл байна.,2026-05-19 20:00:00,9,,2026-05-19 21:00:00
40,403,C_00040,Tengis,https://facebook.com/tengis,Маш сонирхолтой мэдээлэл байна.,2026-05-09 20:00:00,21,,2026-05-09 21:00:00
41,295,C_00041,Khuslen,https://facebook.com/khuslen,Үүнтэй санал нийлэхгүй байна.,2026-05-19 22:00:00,47,13,2026-05-19 23:00:00
42,407,C_00042,Maral,https://facebook.com/maral,Үүнтэй санал нийлэхгүй байна.,2026-05-07 15:00:00,4,24,2026-05-07 16:00:00
43,458,C_00043,Gantulga,https://facebook.com/gantulga,Гайхалтай!,2026-05-10 16:00:00,27,,2026-05-10 17:00:00
44,314,C_00044,Odbayar,https://facebook.com/odbayar,Гайхалтай!,2026-05-19 07:00:00,19,9,2026-05-19 08:00:00
45,357,C_00045,Tuguldur,https://facebook.com/tuguldur,Дараагийн пост хэзээ орох вэ?,2026-05-24 13:00:00,15,,2026-05-24 14:00:00
46,224,C_00046,Maral,https://facebook.com/maral,Сайн тайлбарлажээ.,2026-05-20 22:00:00,38,27,2026-05-20 23:00:00
47,454,C_00047,Nomin,https://facebook.com/nomin,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-21 01:00:00,6,,2026-05-21 02:00:00
48,104,C_00048,Nomin,https://facebook.com/nomin,Дараагийн пост хэзээ орох вэ?,2026-05-22 11:00:00,19,,2026-05-22 12:00:00
49,91,C_00049,Maral,https://facebook.com/maral,Сайн тайлбарлажээ.,2026-05-20 14:00:00,26,22,2026-05-20 15:00:00
50,244,C_00050,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-24 07:00:00,5,,2026-05-24 08:00:00
51,429,C_00051,Gantulga,https://facebook.com/gantulga,Сайн тайлбарлажээ.,2026-05-09 20:00:00,27,,2026-05-09 21:00:00
52,466,C_00052,Khuslen,https://facebook.com/khuslen,Гайхалтай!,2026-05-08 01:00:00,34,,2026-05-08 02:00:00
53,266,C_00053,Nomin,https://facebook.com/nomin,Хэрэгжүүлж үзнэ ээ.,2026-05-14 01:00:00,11,,2026-05-14 02:00:00
54,325,C_00054,Tengis,https://facebook.com/tengis,Сайн тайлбарлажээ.,2026-05-17 18:00:00,9,13,2026-05-17 19:00:00
55,306,C_00055,Nomin,https://facebook.com/nomin,Үүнтэй санал нийлэхгүй байна.,2026-05-19 02:00:00,45,,2026-05-19 03:00:00
56,306,C_00056,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-24 22:00:00,7,,2026-05-24 23:00:00
57,42,C_00057,Khuslen,https://facebook.com/khuslen,Хэрэгжүүлж үзнэ ээ.,2026-05-14 00:00:00,38,,2026-05-14 01:00:00
58,189,C_00058,Anu,https://facebook.com/anu,"Асуух зүйл байна, dm шалгаарай.",2026-05-17 15:00:00,19,9,2026-05-17 16:00:00
59,97,C_00059,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-12 06:00:00,5,,2026-05-12 07:00:00
60,332,C_00060,Sarnai,https://facebook.com/sarnai,Сайн тайлбарлажээ.,2026-05-23 05:00:00,49,,2026-05-23 06:00:00
61,369,C_00061,Odbayar,https://facebook.com/odbayar,Үүнтэй санал нийлэхгүй байна.,2026-05-22 19:00:00,24,,2026-05-22 20:00:00
62,335,C_00062,Khuslen,https://facebook.com/khuslen,Маш сонирхолтой мэдээлэл байна.,2026-05-12 08:00:00,22,,2026-05-12 09:00:00
63,459,C_00063,Tuguldur,https://facebook.com/tuguldur,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-07 08:00:00,43,,2026-05-07 09:00:00
64,404,C_00064,Odbayar,https://facebook.com/odbayar,"Асуух зүйл байна, dm шалгаарай.",2026-05-23 19:00:00,33,,2026-05-23 20:00:00
65,406,C_00065,Gantulga,https://facebook.com/gantulga,Үнэхээр гоё санагдсан шүү.,2026-05-14 04:00:00,45,36,2026-05-14 05:00:00
66,351,C_00066,Anu,https://facebook.com/anu,Үүнтэй санал нийлэхгүй байна.,2026-05-14 09:00:00,23,,2026-05-14 10:00:00
67,175,C_00067,Sarnai,https://facebook.com/sarnai,Маш сонирхолтой мэдээлэл байна.,2026-05-08 21:00:00,33,50,2026-05-08 22:00:00
68,478,C_00068,Tuguldur,https://facebook.com/tuguldur,Дараагийн пост хэзээ орох вэ?,2026-05-16 22:00:00,32,,2026-05-16 23:00:00
69,88,C_00069,Tuguldur,https://facebook.com/tuguldur,"Асуух зүйл байна, dm шалгаарай.",2026-05-19 03:00:00,11,67,2026-05-19 04:00:00
70,115,C_00070,Tuguldur,https://facebook.com/tuguldur,Үнэхээр гоё санагдсан шүү.,2026-05-18 22:00:00,44,,2026-05-18 23:00:00
71,464,C_00071,Anu,https://facebook.com/anu,Гайхалтай!,2026-05-16 22:00:00,12,,2026-05-16 23:00:00
72,274,C_00072,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-15 06:00:00,2,,2026-05-15 07:00:00
73,466,C_00073,Bat-Erdene,https://facebook.com/bat-erdene,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-14 23:00:00,12,53,2026-05-15 00:00:00
74,3,C_00074,Bat-Erdene,https://facebook.com/bat-erdene,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-09 07:00:00,36,,2026-05-09 08:00:00
75,265,C_00075,Nomin,https://facebook.com/nomin,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-24 12:00:00,44,,2026-05-24 13:00:00
76,223,C_00076,Maral,https://facebook.com/maral,Үнэхээр гоё санагдсан шүү.,2026-05-17 06:00:00,45,,2026-05-17 07:00:00
77,59,C_00077,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-10 10:00:00,41,,2026-05-10 11:00:00
78,260,C_00078,Sarnai,https://facebook.com/sarnai,Дараагийн пост хэзээ орох вэ?,2026-05-07 02:00:00,46,,2026-05-07 03:00:00
79,83,C_00079,Anu,https://facebook.com/anu,Үнэхээр гоё санагдсан шүү.,2026-05-12 22:00:00,43,,2026-05-12 23:00:00
80,131,C_00080,Bat-Erdene,https://facebook.com/bat-erdene,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-15 15:00:00,45,49,2026-05-15 16:00:00
81,58,C_00081,Odbayar,https://facebook.com/odbayar,Гайхалтай!,2026-05-10 12:00:00,42,,2026-05-10 13:00:00
82,423,C_00082,Anu,https://facebook.com/anu,Гайхалтай!,2026-05-16 23:00:00,26,76,2026-05-17 00:00:00
83,220,C_00083,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-09 14:00:00,38,,2026-05-09 15:00:00
84,170,C_00084,Tuguldur,https://facebook.com/tuguldur,Үнэхээр гоё санагдсан шүү.,2026-05-21 07:00:00,49,,2026-05-21 08:00:00
85,264,C_00085,Tengis,https://facebook.com/tengis,Маш сонирхолтой мэдээлэл байна.,2026-05-06 20:00:00,8,,2026-05-06 21:00:00
86,335,C_00086,Khuslen,https://facebook.com/khuslen,Маш сонирхолтой мэдээлэл байна.,2026-05-06 03:00:00,19,,2026-05-06 04:00:00
87,331,C_00087,Tuguldur,https://facebook.com/tuguldur,Хэрэгжүүлж үзнэ ээ.,2026-05-16 15:00:00,37,,2026-05-16 16:00:00
88,41,C_00088,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-22 06:00:00,0,,2026-05-22 07:00:00
89,280,C_00089,Tengis,https://facebook.com/tengis,Дараагийн пост хэзээ орох вэ?,2026-05-19 17:00:00,37,,2026-05-19 18:00:00
90,86,C_00090,Tengis,https://facebook.com/tengis,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-18 12:00:00,2,,2026-05-18 13:00:00
91,433,C_00091,Gantulga,https://facebook.com/gantulga,Хэрэгжүүлж үзнэ ээ.,2026-05-14 05:00:00,50,,2026-05-14 06:00:00
92,264,C_00092,Khuslen,https://facebook.com/khuslen,Хэрэгжүүлж үзнэ ээ.,2026-05-08 14:00:00,35,,2026-05-08 15:00:00
93,407,C_00093,Maral,https://facebook.com/maral,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-07 20:00:00,49,,2026-05-07 21:00:00
94,111,C_00094,Sarnai,https://facebook.com/sarnai,"Асуух зүйл байна, dm шалгаарай.",2026-05-23 20:00:00,31,51,2026-05-23 21:00:00
95,3,C_00095,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-14 11:00:00,6,,2026-05-14 12:00:00
96,35,C_00096,Tuguldur,https://facebook.com/tuguldur,Үнэхээр гоё санагдсан шүү.,2026-05-09 14:00:00,14,,2026-05-09 15:00:00
97,11,C_00097,Tuguldur,https://facebook.com/tuguldur,Үүнтэй санал нийлэхгүй байна.,2026-05-24 03:00:00,35,,2026-05-24 04:00:00
98,376,C_00098,Tuguldur,https://facebook.com/tuguldur,Сайн тайлбарлажээ.,2026-05-13 22:00:00,38,13,2026-05-13 23:00:00
99,371,C_00099,Tengis,https://facebook.com/tengis,Маш сонирхолтой мэдээлэл байна.,2026-05-16 12:00:00,41,,2026-05-16 13:00:00
100,249,C_00100,Odbayar,https://facebook.com/odbayar,Маш сонирхолтой мэдээлэл байна.,2026-05-20 19:00:00,10,,2026-05-20 20:00:00
101,15,C_00101,Gantulga,https://facebook.com/gantulga,Маш сонирхолтой мэдээлэл байна.,2026-05-17 19:00:00,44,,2026-05-17 20:00:00
102,78,C_00102,Tuguldur,https://facebook.com/tuguldur,Хэрэгжүүлж үзнэ ээ.,2026-05-15 00:00:00,42,,2026-05-15 01:00:00
103,74,C_00103,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-11 21:00:00,32,,2026-05-11 22:00:00
104,54,C_00104,Tengis,https://facebook.com/tengis,"Асуух зүйл байна, dm шалгаарай.",2026-05-23 14:00:00,27,,2026-05-23 15:00:00
105,176,C_00105,Bat-Erdene,https://facebook.com/bat-erdene,Сайн тайлбарлажээ.,2026-05-08 20:00:00,2,,2026-05-08 21:00:00
106,128,C_00106,Anu,https://facebook.com/anu,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-25 17:00:00,43,49,2026-05-25 18:00:00
107,185,C_00107,Anu,https://facebook.com/anu,Гайхалтай!,2026-05-14 00:00:00,14,,2026-05-14 01:00:00
108,3,C_00108,Sarnai,https://facebook.com/sarnai,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-24 10:00:00,16,,2026-05-24 11:00:00
109,361,C_00109,Bat-Erdene,https://facebook.com/bat-erdene,Дараагийн пост хэзээ орох вэ?,2026-05-10 21:00:00,39,11,2026-05-10 22:00:00
110,162,C_00110,Sarnai,https://facebook.com/sarnai,Хэрэгжүүлж үзнэ ээ.,2026-05-26 03:00:00,23,,2026-05-26 04:00:00
111,316,C_00111,Tengis,https://facebook.com/tengis,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-17 22:00:00,3,,2026-05-17 23:00:00
112,397,C_00112,Khuslen,https://facebook.com/khuslen,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-14 05:00:00,0,,2026-05-14 06:00:00
113,282,C_00113,Anu,https://facebook.com/anu,"Асуух зүйл байна, dm шалгаарай.",2026-05-10 06:00:00,42,,2026-05-10 07:00:00
114,490,C_00114,Nomin,https://facebook.com/nomin,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-21 06:00:00,32,,2026-05-21 07:00:00
115,483,C_00115,Anu,https://facebook.com/anu,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-11 04:00:00,30,,2026-05-11 05:00:00
116,27,C_00116,Bat-Erdene,https://facebook.com/bat-erdene,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-06 16:00:00,7,,2026-05-06 17:00:00
117,367,C_00117,Nomin,https://facebook.com/nomin,"Асуух зүйл байна, dm шалгаарай.",2026-05-15 00:00:00,13,,2026-05-15 01:00:00
118,455,C_00118,Sarnai,https://facebook.com/sarnai,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-26 09:00:00,7,,2026-05-26 10:00:00
119,103,C_00119,Khuslen,https://facebook.com/khuslen,Хэрэгжүүлж үзнэ ээ.,2026-05-18 20:00:00,32,,2026-05-18 21:00:00
120,357,C_00120,Gantulga,https://facebook.com/gantulga,"Асуух зүйл байна, dm шалгаарай.",2026-05-11 09:00:00,45,,2026-05-11 10:00:00
121,324,C_00121,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-21 11:00:00,13,,2026-05-21 12:00:00
122,121,C_00122,Bat-Erdene,https://facebook.com/bat-erdene,Дараагийн пост хэзээ орох вэ?,2026-05-14 04:00:00,43,,2026-05-14 05:00:00
123,28,C_00123,Tuguldur,https://facebook.com/tuguldur,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-14 04:00:00,46,92,2026-05-14 05:00:00
124,271,C_00124,Nomin,https://facebook.com/nomin,Үнэхээр гоё санагдсан шүү.,2026-05-09 12:00:00,23,,2026-05-09 13:00:00
125,423,C_00125,Tengis,https://facebook.com/tengis,Сайн тайлбарлажээ.,2026-05-11 11:00:00,40,,2026-05-11 12:00:00
126,9,C_00126,Anu,https://facebook.com/anu,"Асуух зүйл байна, dm шалгаарай.",2026-05-12 10:00:00,34,114,2026-05-12 11:00:00
127,327,C_00127,Sarnai,https://facebook.com/sarnai,Сайн тайлбарлажээ.,2026-05-10 03:00:00,29,,2026-05-10 04:00:00
128,5,C_00128,Tuguldur,https://facebook.com/tuguldur,Маш сонирхолтой мэдээлэл байна.,2026-05-12 19:00:00,21,,2026-05-12 20:00:00
129,21,C_00129,Tuguldur,https://facebook.com/tuguldur,Дараагийн пост хэзээ орох вэ?,2026-05-22 06:00:00,45,,2026-05-22 07:00:00
130,184,C_00130,Odbayar,https://facebook.com/odbayar,Үнэхээр гоё санагдсан шүү.,2026-05-12 10:00:00,20,,2026-05-12 11:00:00
131,433,C_00131,Bat-Erdene,https://facebook.com/bat-erdene,"Асуух зүйл байна, dm шалгаарай.",2026-05-16 14:00:00,44,,2026-05-16 15:00:00
132,369,C_00132,Sarnai,https://facebook.com/sarnai,Үүнтэй санал нийлэхгүй байна.,2026-05-13 17:00:00,0,56,2026-05-13 18:00:00
133,100,C_00133,Tuguldur,https://facebook.com/tuguldur,Хэрэгжүүлж үзнэ ээ.,2026-05-10 04:00:00,12,,2026-05-10 05:00:00
134,232,C_00134,Sarnai,https://facebook.com/sarnai,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-20 00:00:00,13,,2026-05-20 01:00:00
135,187,C_00135,Anu,https://facebook.com/anu,Сайн тайлбарлажээ.,2026-05-16 10:00:00,9,,2026-05-16 11:00:00
136,87,C_00136,Odbayar,https://facebook.com/odbayar,Сайн тайлбарлажээ.,2026-05-12 05:00:00,39,,2026-05-12 06:00:00
137,259,C_00137,Tuguldur,https://facebook.com/tuguldur,Үнэхээр гоё санагдсан шүү.,2026-05-07 21:00:00,41,,2026-05-07 22:00:00
138,426,C_00138,Khuslen,https://facebook.com/khuslen,Маш сонирхолтой мэдээлэл байна.,2026-05-25 20:00:00,37,,2026-05-25 21:00:00
139,13,C_00139,Tengis,https://facebook.com/tengis,Дараагийн пост хэзээ орох вэ?,2026-05-13 18:00:00,12,,2026-05-13 19:00:00
140,441,C_00140,Odbayar,https://facebook.com/odbayar,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-06 07:00:00,18,,2026-05-06 08:00:00
141,346,C_00141,Maral,https://facebook.com/maral,Гайхалтай!,2026-05-21 15:00:00,24,72,2026-05-21 16:00:00
142,52,C_00142,Gantulga,https://facebook.com/gantulga,Гайхалтай!,2026-05-07 13:00:00,24,,2026-05-07 14:00:00
143,10,C_00143,Tuguldur,https://facebook.com/tuguldur,Гайхалтай!,2026-05-11 10:00:00,19,95,2026-05-11 11:00:00
144,496,C_00144,Nomin,https://facebook.com/nomin,"Асуух зүйл байна, dm шалгаарай.",2026-05-18 20:00:00,35,1,2026-05-18 21:00:00
145,290,C_00145,Gantulga,https://facebook.com/gantulga,Маш сонирхолтой мэдээлэл байна.,2026-05-24 18:00:00,21,134,2026-05-24 19:00:00
146,467,C_00146,Tengis,https://facebook.com/tengis,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-13 15:00:00,33,,2026-05-13 16:00:00
147,411,C_00147,Anu,https://facebook.com/anu,Сайн тайлбарлажээ.,2026-05-07 21:00:00,37,,2026-05-07 22:00:00
148,234,C_00148,Tengis,https://facebook.com/tengis,Дараагийн пост хэзээ орох вэ?,2026-05-19 03:00:00,19,,2026-05-19 04:00:00
149,284,C_00149,Sarnai,https://facebook.com/sarnai,Хэрэгжүүлж үзнэ ээ.,2026-05-18 21:00:00,35,,2026-05-18 22:00:00
150,402,C_00150,Odbayar,https://facebook.com/odbayar,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-06 05:00:00,45,118,2026-05-06 06:00:00
151,285,C_00151,Odbayar,https://facebook.com/odbayar,Үүнтэй санал нийлэхгүй байна.,2026-05-25 11:00:00,21,,2026-05-25 12:00:00
152,69,C_00152,Odbayar,https://facebook.com/odbayar,Дараагийн пост хэзээ орох вэ?,2026-05-06 13:00:00,5,,2026-05-06 14:00:00
153,347,C_00153,Bat-Erdene,https://facebook.com/bat-erdene,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-18 07:00:00,6,65,2026-05-18 08:00:00
154,141,C_00154,Gantulga,https://facebook.com/gantulga,Маш сонирхолтой мэдээлэл байна.,2026-05-24 12:00:00,2,,2026-05-24 13:00:00
155,105,C_00155,Maral,https://facebook.com/maral,Хэрэгжүүлж үзнэ ээ.,2026-05-15 10:00:00,7,,2026-05-15 11:00:00
156,76,C_00156,Tuguldur,https://facebook.com/tuguldur,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-16 23:00:00,25,,2026-05-17 00:00:00
157,131,C_00157,Sarnai,https://facebook.com/sarnai,Үүнтэй санал нийлэхгүй байна.,2026-05-10 02:00:00,29,,2026-05-10 03:00:00
158,120,C_00158,Odbayar,https://facebook.com/odbayar,Маш сонирхолтой мэдээлэл байна.,2026-05-21 13:00:00,49,,2026-05-21 14:00:00
159,324,C_00159,Nomin,https://facebook.com/nomin,Гайхалтай!,2026-05-10 05:00:00,47,,2026-05-10 06:00:00
160,420,C_00160,Anu,https://facebook.com/anu,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-20 17:00:00,23,,2026-05-20 18:00:00
161,105,C_00161,Nomin,https://facebook.com/nomin,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-25 01:00:00,45,109,2026-05-25 02:00:00
162,10,C_00162,Tengis,https://facebook.com/tengis,Гайхалтай!,2026-05-24 01:00:00,45,,2026-05-24 02:00:00
163,22,C_00163,Bat-Erdene,https://facebook.com/bat-erdene,Дараагийн пост хэзээ орох вэ?,2026-05-11 23:00:00,37,34,2026-05-12 00:00:00
164,455,C_00164,Nomin,https://facebook.com/nomin,Гайхалтай!,2026-05-09 11:00:00,29,79,2026-05-09 12:00:00
165,221,C_00165,Odbayar,https://facebook.com/odbayar,Сайн тайлбарлажээ.,2026-05-14 00:00:00,9,148,2026-05-14 01:00:00
166,156,C_00166,Khuslen,https://facebook.com/khuslen,Хэрэгжүүлж үзнэ ээ.,2026-05-13 02:00:00,50,,2026-05-13 03:00:00
167,129,C_00167,Khuslen,https://facebook.com/khuslen,Маш сонирхолтой мэдээлэл байна.,2026-05-20 18:00:00,41,,2026-05-20 19:00:00
168,363,C_00168,Odbayar,https://facebook.com/odbayar,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-17 22:00:00,13,,2026-05-17 23:00:00
169,172,C_00169,Anu,https://facebook.com/anu,Хэрэгжүүлж үзнэ ээ.,2026-05-16 15:00:00,46,,2026-05-16 16:00:00
170,394,C_00170,Maral,https://facebook.com/maral,Хэрэгтэй зөвлөгөө байна баярлалаа.,2026-05-12 07:00:00,4,,2026-05-12 08:00:00
171,495,C_00171,Bat-Erdene,https://facebook.com/bat-erdene,Үнэхээр гоё санагдсан шүү.,2026-05-20 20:00:00,20,,2026-05-20 21:00:00
172,331,C_00172,Odbayar,https://facebook.com/odbayar,"Асуух зүйл байна, dm шалгаарай.",2026-05-07 04:00:00,21,92,2026-05-07 05:00:00
173,454,C_00173,Anu,https://facebook.com/anu,Үүнтэй санал нийлэхгүй байна.,2026-05-15 20:00:00,41,,2026-05-15 21:00:00
174,462,C_00174,Anu,https://facebook.com/anu,Үнэхээр гоё санагдсан шүү.,2026-05-06 06:00:00,36,,2026-05-06 07:00:00
175,277,C_00175,Nomin,https://facebook.com/nomin,"Асуух зүйл байна, dm шалгаарай.",2026-05-22 12:00:00,6,12,2026-05-22 13:00:00
176,135,C_00176,Odbayar,https://facebook.com/odbayar,Энэ талаар дэлгэрэнгүй хаанаас уншиж болох вэ?,2026-05-25 06:00:00,14,,2026-05-25 07:00:00
177,258,C_00177,Sarnai,https://facebook.com/sarnai,Үнэхээр гоё санагдсан шүү.,2026-05-07 16:00:00,46,,2026-05-07 17:00:00
178,226,C_00178,Anu,https://facebook.com/anu,Дараагийн пост хэзээ орох вэ?,2026-05-08 22:00:00,22,88,2026-05-08 23:00:00
