id,page_name,post_id,post_url,content,timestamp,likes,shares,comment_count,scraped_at
33,Монголын хөгжүүлэгчид,POST_0033,https://facebook.com/монголынхөгжүүлэгчид/posts/33,Cloud computing-ийн ирээдүй. #33,2026-05-20 17:31:00,697,142,82,2026-05-20 19:31:00
34,Мэдээллийн Технологи,POST_0034,https://facebook.com/мэдээллийнтехнологи/posts/34,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #34,2026-05-17 09:25:00,978,47,95,2026-05-17 11:25:00
35,TechNews Mongolia,POST_0035,https://facebook.com/technewsmongolia/posts/35,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #35,2026-05-01 09:11:00,630,22,91,2026-05-01 11:11:00
36,Монголын хөгжүүлэгчид,POST_0036,https://facebook.com/монголынхөгжүүлэгчид/posts/36,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #36,2026-05-13 18:25:00,112,7,54,2026-05-13 20:25:00
37,AI & Data Science MN,POST_0037,https://facebook.com/ai&datasciencemn/posts/37,Tech event удахгүй болно. #37,2026-05-12 08:10:00,117,164,89,2026-05-12 10:10:00
38,TechNews Mongolia,POST_0038,https://facebook.com/technewsmongolia/posts/38,Машин сургалтын үндэс сургалт эхэллээ. #38,2026-05-03 22:43:00,794,18,85,2026-05-04 00:43:00
39,TechNews Mongolia,POST_0039,https://facebook.com/technewsmongolia/posts/39,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #39,2026-05-04 11:48:00,804,144,18,2026-05-04 13:48:00
40,TechNews Mongolia,POST_0040,https://facebook.com/technewsmongolia/posts/40,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #40,2026-05-18 06:52:00,319,51,40,2026-05-18 08:52:00
41,Мэдээллийн Технологи,POST_0041,https://facebook.com/мэдээллийнтехнологи/posts/41,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #41,2026-05-06 02:01:00,328,72,81,2026-05-06 04:01:00
42,AI & Data Science MN,POST_0042,https://facebook.com/ai&datasciencemn/posts/42,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #42,2026-05-01 00:52:00,160,155,75,2026-05-01 02:52:00
43,Монголын хөгжүүлэгчид,POST_0043,https://facebook.com/монголынхөгжүүлэгчид/posts/43,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #43,2026-05-19 12:41:00,867,194,59,2026-05-19 14:41:00
44,Монголын хөгжүүлэгчид,POST_0044,https://facebook.com/монголынхөгжүүлэгчид/posts/44,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #44,2026-05-08 01:29:00,704,144,99,2026-05-08 03:29:00
45,Монголын хөгжүүлэгчид,POST_0045,https://facebook.com/монголынхөгжүүлэгчид/posts/45,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #45,2026-05-16 16:02:00,826,34,58,2026-05-16 18:02:00
46,AI & Data Science MN,POST_0046,https://facebook.com/ai&datasciencemn/posts/46,Tech event удахгүй болно. #46,2026-05-19 19:20:00,439,178,62,2026-05-19 21:20:00
47,AI & Data Science MN,POST_0047,https://facebook.com/ai&datasciencemn/posts/47,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #47,2026-05-06 23:14:00,25,193,93,2026-05-07 01:14:00
48,Мэдээллийн Технологи,POST_0048,https://facebook.com/мэдээллийнтехнологи/posts/48,Cloud computing-ийн ирээдүй. #48,2026-05-16 14:02:00,619,117,85,2026-05-16 16:02:00
49,AI & Data Science MN,POST_0049,https://facebook.com/ai&datasciencemn/posts/49,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #49,2026-05-04 10:22:00,374,158,23,2026-05-04 12:22:00
50,Монголын хөгжүүлэгчид,POST_0050,https://facebook.com/монголынхөгжүүлэгчид/posts/50,Машин сургалтын үндэс сургалт эхэллээ. #50,2026-05-06 02:06:00,293,189,91,2026-05-06 04:06:00
51,TechNews Mongolia,POST_0051,https://facebook.com/technewsmongolia/posts/51,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #51,2026-05-10 03:10:00,752,36,62,2026-05-10 05:10:00
52,Мэдээллийн Технологи,POST_0052,https://facebook.com/мэдээллийнтехнологи/posts/52,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #52,2026-05-18 19:26:00,872,57,38,2026-05-18 21:26:00
53,Монголын хөгжүүлэгчид,POST_0053,https://facebook.com/монголынхөгжүүлэгчид/posts/53,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #53,2026-05-14 06:42:00,558,38,80,2026-05-14 08:42:00
54,TechNews Mongolia,POST_0054,https://facebook.com/technewsmongolia/posts/54,Tech event удахгүй болно. #54,2026-05-10 02:18:00,99,188,28,2026-05-10 04:18:00
55,Мэдээллийн Технологи,POST_0055,https://facebook.com/мэдээллийнтехнологи/posts/55,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #55,2026-05-02 08:50:00,800,24,14,2026-05-02 10:50:00
56,AI & Data Science MN,POST_0056,https://facebook.com/ai&datasciencemn/posts/56,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #56,2026-05-20 17:49:00,905,0,98,2026-05-20 19:49:00
57,TechNews Mongolia,POST_0057,https://facebook.com/technewsmongolia/posts/57,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #57,2026-05-15 15:35:00,160,194,25,2026-05-15 17:35:00
58,Монголын хөгжүүлэгчид,POST_0058,https://facebook.com/монголынхөгжүүлэгчид/posts/58,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #58,2026-05-08 17:46:00,651,182,45,2026-05-08 19:46:00
59,Мэдээллийн Технологи,POST_0059,https://facebook.com/мэдээллийнтехнологи/posts/59,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #59,2026-05-01 08:30:00,642,80,99,2026-05-01 10:30:00
60,Монголын хөгжүүлэгчид,POST_0060,https://facebook.com/монголынхөгжүүлэгчид/posts/60,Машин сургалтын үндэс сургалт эхэллээ. #60,2026-05-18 01:02:00,642,52,65,2026-05-18 03:02:00
61,Мэдээллийн Технологи,POST_0061,https://facebook.com/мэдээллийнтехнологи/posts/61,Cloud computing-ийн ирээдүй. #61,2026-05-18 18:04:00,911,45,40,2026-05-18 20:04:00
62,AI & Data Science MN,POST_0062,https://facebook.com/ai&datasciencemn/posts/62,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #62,2026-05-14 07:01:00,451,108,9,2026-05-14 09:01:00
63,AI & Data Science MN,POST_0063,https://facebook.com/ai&datasciencemn/posts/63,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #63,2026-05-19 12:53:00,702,153,54,2026-05-19 14:53:00
64,TechNews Mongolia,POST_0064,https://facebook.com/technewsmongolia/posts/64,Cloud computing-ийн ирээдүй. #64,2026-05-10 12:30:00,700,163,88,2026-05-10 14:30:00
65,TechNews Mongolia,POST_0065,https://facebook.com/technewsmongolia/posts/65,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #65,2026-05-20 02:28:00,558,6,25,2026-05-20 04:28:00
66,Монголын хөгжүүлэгчид,POST_0066,https://facebook.com/монголынхөгжүүлэгчид/posts/66,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #66,2026-05-09 01:46:00,200,165,18,2026-05-09 03:46:00
67,TechNews Mongolia,POST_0067,https://facebook.com/technewsmongolia/posts/67,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #67,2026-05-11 00:52:00,657,16,32,2026-05-11 02:52:00
68,Мэдээллийн Технологи,POST_0068,https://facebook.com/мэдээллийнтехнологи/posts/68,Tech event удахгүй болно. #68,2026-05-15 04:37:00,206,150,9,2026-05-15 06:37:00
69,Мэдээллийн Технологи,POST_0069,https://facebook.com/мэдээллийнтехнологи/posts/69,Машин сургалтын үндэс сургалт эхэллээ. #69,2026-05-04 17:19:00,325,34,63,2026-05-04 19:19:00
70,AI & Data Science MN,POST_0070,https://facebook.com/ai&datasciencemn/posts/70,Tech event удахгүй болно. #70,2026-05-03 12:48:00,326,96,14,2026-05-03 14:48:00
71,Монголын хөгжүүлэгчид,POST_0071,https://facebook.com/монголынхөгжүүлэгчид/posts/71,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #71,2026-05-02 02:06:00,720,120,26,2026-05-02 04:06:00
72,AI & Data Science MN,POST_0072,https://facebook.com/ai&datasciencemn/posts/72,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #72,2026-05-13 05:39:00,952,4,69,2026-05-13 07:39:00
73,TechNews Mongolia,POST_0073,https://facebook.com/technewsmongolia/posts/73,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #73,2026-05-20 18:00:00,545,142,64,2026-05-20 20:00:00
74,Монголын хөгжүүлэгчид,POST_0074,https://facebook.com/монголынхөгжүүлэгчид/posts/74,Машин сургалтын үндэс сургалт эхэллээ. #74,2026-05-19 04:00:00,306,36,99,2026-05-19 06:00:00
75,TechNews Mongolia,POST_0075,https://facebook.com/technewsmongolia/posts/75,Tech event удахгүй болно. #75,2026-05-03 05:06:00,961,172,0,2026-05-03 07:06:00
76,Монголын хөгжүүлэгчид,POST_0076,https://facebook.com/монголынхөгжүүлэгчид/posts/76,Машин сургалтын үндэс сургалт эхэллээ. #76,2026-05-05 07:11:00,736,62,46,2026-05-05 09:11:00
77,Монголын хөгжүүлэгчид,POST_0077,https://facebook.com/монголынхөгжүүлэгчид/posts/77,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #77,2026-05-07 19:50:00,332,139,71,2026-05-07 21:50:00
78,AI & Data Science MN,POST_0078,https://facebook.com/ai&datasciencemn/posts/78,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #78,2026-05-08 07:23:00,804,175,89,2026-05-08 09:23:00
79,Монголын хөгжүүлэгчид,POST_0079,https://facebook.com/монголынхөгжүүлэгчид/posts/79,Tech event удахгүй болно. #79,2026-05-13 17:17:00,653,64,15,2026-05-13 19:17:00
80,Мэдээллийн Технологи,POST_0080,https://facebook.com/мэдээллийнтехнологи/posts/80,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #80,2026-05-17 22:49:00,712,118,36,2026-05-18 00:49:00
81,AI & Data Science MN,POST_0081,https://facebook.com/ai&datasciencemn/posts/81,Tech event удахгүй болно. #81,2026-05-08 18:23:00,181,26,100,2026-05-08 20:23:00
82,TechNews Mongolia,POST_0082,https://facebook.com/technewsmongolia/posts/82,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #82,2026-05-08 11:25:00,907,76,60,2026-05-08 13:25:00
83,Монголын хөгжүүлэгчид,POST_0083,https://facebook.com/монголынхөгжүүлэгчид/posts/83,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #83,2026-05-13 20:07:00,294,200,0,2026-05-13 22:07:00
84,Мэдээллийн Технологи,POST_0084,https://facebook.com/мэдээллийнтехнологи/posts/84,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #84,2026-05-11 06:40:00,463,85,70,2026-05-11 08:40:00
85,TechNews Mongolia,POST_0085,https://facebook.com/technewsmongolia/posts/85,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #85,2026-05-10 02:30:00,747,62,58,2026-05-10 04:30:00
86,AI & Data Science MN,POST_0086,https://facebook.com/ai&datasciencemn/posts/86,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #86,2026-05-13 17:07:00,285,29,56,2026-05-13 19:07:00
87,AI & Data Science MN,POST_0087,https://facebook.com/ai&datasciencemn/posts/87,Өгөгдлийн сангийн аюулгүй байдлын талаарх чухал зөвлөгөө. #87,2026-05-03 13:59:00,564,23,88,2026-05-03 15:59:00
88,Монголын хөгжүүлэгчид,POST_0088,https://facebook.com/монголынхөгжүүлэгчид/posts/88,Cloud computing-ийн ирээдүй. #88,2026-05-02 19:47:00,785,119,83,2026-05-02 21:47:00
89,Монголын хөгжүүлэгчид,POST_0089,https://facebook.com/монголынхөгжүүлэгчид/posts/89,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #89,2026-05-03 22:11:00,721,136,34,2026-05-04 00:11:00
90,Мэдээллийн Технологи,POST_0090,https://facebook.com/мэдээллийнтехнологи/posts/90,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #90,2026-05-19 04:22:00,167,56,27,2026-05-19 06:22:00
91,TechNews Mongolia,POST_0091,https://facebook.com/technewsmongolia/posts/91,Машин сургалтын үндэс сургалт эхэллээ. #91,2026-05-11 00:43:00,985,58,79,2026-05-11 02:43:00
92,Монголын хөгжүүлэгчид,POST_0092,https://facebook.com/монголынхөгжүүлэгчид/posts/92,Tech event удахгүй болно. #92,2026-05-14 22:00:00,848,133,45,2026-05-15 00:00:00
93,TechNews Mongolia,POST_0093,https://facebook.com/technewsmongolia/posts/93,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #93,2026-05-13 10:09:00,875,106,47,2026-05-13 12:09:00
94,AI & Data Science MN,POST_0094,https://facebook.com/ai&datasciencemn/posts/94,Cloud computing-ийн ирээдүй. #94,2026-05-11 08:33:00,809,79,53,2026-05-11 10:33:00
95,Монголын хөгжүүлэгчид,POST_0095,https://facebook.com/монголынхөгжүүлэгчид/posts/95,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #95,2026-05-20 23:30:00,638,134,10,2026-05-21 01:30:00
96,AI & Data Science MN,POST_0096,https://facebook.com/ai&datasciencemn/posts/96,Tech event удахгүй болно. #96,2026-05-07 12:08:00,248,124,94,2026-05-07 14:08:00
97,Монголын хөгжүүлэгчид,POST_0097,https://facebook.com/монголынхөгжүүлэгчид/posts/97,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #97,2026-05-20 20:20:00,82,3,95,2026-05-20 22:20:00
98,TechNews Mongolia,POST_0098,https://facebook.com/technewsmongolia/posts/98,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #98,2026-05-09 00:05:00,440,55,73,2026-05-09 02:05:00
99,Монголын хөгжүүлэгчид,POST_0099,https://facebook.com/монголынхөгжүүлэгчид/posts/99,Cloud computing-ийн ирээдүй. #99,2026-05-04 04:39:00,523,14,62,2026-05-04 06:39:00
100,AI & Data Science MN,POST_0100,https://facebook.com/ai&datasciencemn/posts/100,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #100,2026-05-16 08:41:00,625,117,83,2026-05-16 10:41:00
101,Мэдээллийн Технологи,POST_0101,https://facebook.com/мэдээллийнтехнологи/posts/101,Машин сургалтын үндэс сургалт эхэллээ. #101,2026-05-01 00:57:00,724,87,67,2026-05-01 02:57:00
102,Мэдээллийн Технологи,POST_0102,https://facebook.com/мэдээллийнтехнологи/posts/102,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #102,2026-05-19 09:40:00,854,101,80,2026-05-19 11:40:00
103,Мэдээллийн Технологи,POST_0103,https://facebook.com/мэдээллийнтехнологи/posts/103,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #103,2026-05-04 03:33:00,980,162,56,2026-05-04 05:33:00
104,Монголын хөгжүүлэгчид,POST_0104,https://facebook.com/монголынхөгжүүлэгчид/posts/104,Машин сургалтын үндэс сургалт эхэллээ. #104,2026-05-03 01:58:00,840,191,1,2026-05-03 03:58:00
105,TechNews Mongolia,POST_0105,https://facebook.com/technewsmongolia/posts/105,Cloud computing-ийн ирээдүй. #105,2026-05-13 10:19:00,922,199,62,2026-05-13 12:19:00
106,AI & Data Science MN,POST_0106,https://facebook.com/ai&datasciencemn/posts/106,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #106,2026-05-03 05:18:00,336,138,96,2026-05-03 07:18:00
107,AI & Data Science MN,POST_0107,https://facebook.com/ai&datasciencemn/posts/107,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #107,2026-05-09 19:30:00,995,16,12,2026-05-09 21:30:00
108,Монголын хөгжүүлэгчид,POST_0108,https://facebook.com/монголынхөгжүүлэгчид/posts/108,Cloud computing-ийн ирээдүй. #108,2026-05-20 19:19:00,982,29,90,2026-05-20 21:19:00
109,Монголын хөгжүүлэгчид,POST_0109,https://facebook.com/монголынхөгжүүлэгчид/posts/109,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #109,2026-05-03 16:27:00,964,72,11,2026-05-03 18:27:00
110,TechNews Mongolia,POST_0110,https://facebook.com/technewsmongolia/posts/110,Cloud computing-ийн ирээдүй. #110,2026-05-07 00:03:00,239,82,62,2026-05-07 02:03:00
111,TechNews Mongolia,POST_0111,https://facebook.com/technewsmongolia/posts/111,Tech event удахгүй болно. #111,2026-05-08 00:40:00,809,188,14,2026-05-08 02:40:00
112,AI & Data Science MN,POST_0112,https://facebook.com/ai&datasciencemn/posts/112,Python 3.12 хувилбар гарлаа. Олон шинэ боломжууд нэмэгдсэн байна. #112,2026-05-17 04:12:00,93,195,26,2026-05-17 06:12:00
113,AI & Data Science MN,POST_0113,https://facebook.com/ai&datasciencemn/posts/113,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #113,2026-05-19 10:40:00,48,68,23,2026-05-19 12:40:00
114,Монголын хөгжүүлэгчид,POST_0114,https://facebook.com/монголынхөгжүүлэгчид/posts/114,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #114,2026-05-02 13:12:00,284,185,49,2026-05-02 15:12:00
115,Мэдээллийн Технологи,POST_0115,https://facebook.com/мэдээллийнтехнологи/posts/115,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #115,2026-05-04 15:45:00,720,80,78,2026-05-04 17:45:00
116,TechNews Mongolia,POST_0116,https://facebook.com/technewsmongolia/posts/116,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #116,2026-05-15 11:28:00,194,139,85,2026-05-15 13:28:00
117,AI & Data Science MN,POST_0117,https://facebook.com/ai&datasciencemn/posts/117,Шинэ хиймэл оюун ухааны загвар танилцуулагдлаа. #117,2026-05-09 01:14:00,618,107,63,2026-05-09 03:14:00
118,Монголын хөгжүүлэгчид,POST_0118,https://facebook.com/монголынхөгжүүлэгчид/posts/118,Машин сургалтын үндэс сургалт эхэллээ. #118,2026-05-15 15:32:00,346,182,19,2026-05-15 17:32:00
119,Мэдээллийн Технологи,POST_0119,https://facebook.com/мэдээллийнтехнологи/posts/119,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #119,2026-05-15 12:34:00,856,47,70,2026-05-15 14:34:00
120,Монголын хөгжүүлэгчид,POST_0120,https://facebook.com/монголынхөгжүүлэгчид/posts/120,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #120,2026-05-19 11:09:00,742,145,69,2026-05-19 13:09:00
121,Монголын хөгжүүлэгчид,POST_0121,https://facebook.com/монголынхөгжүүлэгчид/posts/121,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #121,2026-05-17 21:08:00,378,194,95,2026-05-17 23:08:00
122,Мэдээллийн Технологи,POST_0122,https://facebook.com/мэдээллийнтехнологи/posts/122,Машин сургалтын үндэс сургалт эхэллээ. #122,2026-05-15 04:58:00,813,29,69,2026-05-15 06:58:00
123,TechNews Mongolia,POST_0123,https://facebook.com/technewsmongolia/posts/123,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #123,2026-05-05 07:08:00,621,57,56,2026-05-05 09:08:00
124,AI & Data Science MN,POST_0124,https://facebook.com/ai&datasciencemn/posts/124,Javascript хөгжүүлэгчдэд зориулсан 5 зөвлөгөө. #124,2026-05-06 08:31:00,203,88,40,2026-05-06 10:31:00
125,TechNews Mongolia,POST_0125,https://facebook.com/technewsmongolia/posts/125,Шинэ iPhone 16-ийн талаарх цуурхал ба баримтууд. #125,2026-05-17 04:39:00,493,183,7,2026-05-17 06:39:00
126,TechNews Mongolia,POST_0126,https://facebook.com/technewsmongolia/posts/126,Cybersecurity-д хэрэгтэй шинэ tool-ууд. #126,2026-05-16 11:23:00,395,34,78,2026-05-16 13:23:00
127,Монголын хөгжүүлэгчид,POST_0127,https://facebook.com/монголынхөгжүүлэгчид/posts/127,Tech event удахгүй болно. #127,2026-05-12 13:59:00,233,174,71,2026-05-12 15:59:00
128,AI & Data Science MN,POST_0128,https://facebook.com/ai&datasciencemn/posts/128,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #128,2026-05-03 16:39:00,723,161,54,2026-05-03 18:39:00
129,AI & Data Science MN,POST_0129,https://facebook.com/ai&datasciencemn/posts/129,React 19 хувилбарыг туршиж үзсэн хүн байна уу? #129,2026-05-13 09:12:00,987,50,45,2026-05-13 11:12:00
